feature,coefficient,abs_coefficient
log_total_wages,-115.10688088884787,115.10688088884787
log_wage_returns,99.64346281148644,99.64346281148644
avg_wage,48.837882811345985,48.837882811345985
wage_per_return,48.83788281108787,48.83788281108787
total_wages,-22.64509704272785,22.64509704272785
num_wage_returns,18.157364380026387,18.157364380026387
state_avg_income,-1.0132067542068492,1.0132067542068492
