ZIPCODE,STATE,YEAR,share_wages,share_business,share_capital_gains,share_interest,share_dividends,share_unemployment,share_social_security,income_stability_index,income_diversity_index,shock_response_index
1001,MA,2022,0.6846274045755204,0.026468535712118452,0.018236846896049517,0.004255415983979611,0.010508829419260877,0.007312336913647673,0.04147399720856848,0.08276015051683641,0.6099296705824054,0.032994377114776915
1002,MA,2022,0.5882206386495274,0.05356083158818827,0.06958150849194944,0.00791372198980868,0.04692519335553387,0.0026679875820872097,0.03834839798135351,0.18660475438872404,0.9962668520416601,0.06577753215957809
1003,MA,2016,0.9285420944558521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4952595206119798e-08,0.022647375686639284
1005,MA,2022,0.7471301893548455,0.03409545674747773,0.029735450849885207,0.0026381195104998208,0.00840933504644354,0.008720011795185037,0.03514859826863534,0.08366123780287085,0.6094548352132179,0.0254237222344432
1007,MA,2022,0.7070004133156289,0.03486681212813608,0.025735420325516952,0.004229276203318334,0.012571111571876412,0.005504924772436104,0.03558496519772553,0.07572816015392174,0.6341777891528698,0.018468687551442226
1008,MA,2022,0.6858567099990226,0.02940084058254325,0.032000781937249534,0.0027172319421366435,0.010184732675202816,0.005375818590558108,0.06167530055713029,0.10013515632753231,0.699007961461767,-0.035585800040773136
1009,MA,2016,0.7804662721119576,0.020403492136154073,0.00016348952032174736,0.002975509269855802,0.002550436517019259,0.007749403263250826,0.034202007651309554,0.0,0.377779036547998,0.022647375686639284
1010,MA,2022,0.6982486060277189,0.04610213788559184,0.024258163112752563,0.003194923559931118,0.009911461303772446,0.005980099557583375,0.04202681077968316,0.09814477184753301,0.6699732055972262,-0.004839976941356616
1011,MA,2022,0.7457223627436393,0.016862570054059417,0.015473887814313346,0.0012646927540544562,0.005976293210335763,0.007067400684421961,0.04215642513514854,0.09608163230656666,0.4897457471906704,0.07682867011209701
1012,MA,2022,0.5808215568073262,0.021543630793556676,0.016174193760911816,0.004677669071383866,0.010080047435517344,0.005534143690087953,0.047731989327008596,0.12051053263958071,0.6585977543976034,-0.14354507698342142
1013,MA,2022,0.798683494762821,0.02039925960271187,0.01747490936704794,0.0031543553103790703,0.005124001942265075,0.01109500669935416,0.03158371272001081,0.0871505342645294,0.48225101251225,0.04928576346637623
1020,MA,2022,0.766914159613397,0.019807257185954916,0.013098689907539316,0.0038459174837285957,0.005252660688846057,0.008772312075756307,0.04031285790105869,0.08650385196745236,0.4971310035200074,0.021019677963642253
1022,MA,2022,0.666084895841673,0.004403311290090148,0.0062607080524554465,0.002722046979328455,0.008102092773765873,0.005364033753382544,0.057803468208092484,0.0698613871338302,0.4781857428183567,0.0020454560815678317
1026,MA,2022,0.5118966866684059,0.05870075658752935,0.02937646751891469,0.0043569006000521784,0.027367597182363684,0.0049830420036524915,0.050404382989825205,0.1098935524483726,0.9520760311262204,0.0708369515281395
1027,MA,2022,0.6440486412686948,0.04274622336480042,0.03766567636486927,0.004816841798963106,0.018841281945027207,0.005872961643234143,0.043484078311351405,0.061388612512797404,0.7877388431007297,0.019561581505137576
1028,MA,2022,0.6722147063462007,0.03133136859632164,0.04840677136919711,0.006419905139035362,0.021582425080543848,0.004189460155069032,0.03637052207861594,0.1046765650385207,0.7537036057124071,0.027209707178793337
1029,MA,2016,0.5807364341085272,0.053449612403100775,0.016550387596899224,0.002674418604651163,0.015193798449612403,0.005348837209302326,0.0439922480620155,0.0,0.7618925296209158,0.022647375686639284
1030,MA,2022,0.6994275835421305,0.03276755589724387,0.025856334224290057,0.0039376038177030845,0.009088156914607574,0.005911384992889608,0.04551049430172761,0.06582501053524051,0.6459724448125989,0.016071213310822816
1031,MA,2022,0.7421208693791459,0.014092256900926237,0.0006113777397364962,0.0012533243664598172,0.0020481154281172622,0.007672790633693027,0.04291871732950203,0.0771590385500947,0.3815764689165494,-0.024829366505731736
1032,MA,2022,0.6257490817707326,0.05035762613570462,0.011067079064372704,0.0014015078291127006,0.010052194084670405,0.0,0.04330175913396482,0.0900558998919691,0.6248940100487423,-0.05359110649717062
1033,MA,2022,0.6926640492367392,0.034533906496592305,0.029911811123257047,0.004973585515794209,0.009585136184855696,0.006091324168813686,0.038576043134870286,0.06159169627175942,0.6583947527476375,0.052744063817251635
