Model,Algorithm,R²,RMSE,MAE,MAPE
Stat Model,Ridge,0.5026627397179569,61.58450677479344,19.85310737256186,12.578616724559142
Ml Model,RandomForest,0.728217880387632,45.52567664715929,16.13992308080496,9.92619309590305
Hybrid Model,stacking_ensemble,0.686787007893763,48.872646026745606,17.16021514454251,11.09484016354562
