,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,10.9799,0.0503,10.8849,11.0741,0.0029,0.0014,299.4911,885.9936,1.0089
beta[share_wages],-0.0559,0.0025,-0.0607,-0.0515,0.0,0.0,2624.9126,2513.9508,1.0006
beta[share_business],-0.1073,0.0019,-0.1107,-0.1037,0.0,0.0,2270.6786,2668.6343,1.001
beta[share_capital_gains],0.0462,0.0025,0.0415,0.0511,0.0001,0.0,2501.7448,2813.943,1.0003
beta[share_interest],-0.006,0.002,-0.0098,-0.0025,0.0,0.0,3116.4682,2745.7962,1.0006
beta[share_dividends],0.0467,0.0021,0.0426,0.0504,0.0,0.0,3011.633,2487.1059,1.0003
beta[share_unemployment],-0.149,0.0019,-0.1525,-0.1452,0.0,0.0,2497.9744,2351.4586,1.0013
beta[share_social_security],-0.1795,0.002,-0.1832,-0.1756,0.0,0.0,2477.5976,2413.9433,1.0005
beta[income_stability_index],-0.0153,0.0017,-0.0185,-0.0121,0.0,0.0,2891.8477,2979.6952,1.0
beta[income_diversity_index],0.2354,0.0043,0.2274,0.2441,0.0001,0.0001,1800.3288,1958.8834,1.0016
beta[shock_response_index],0.0056,0.0013,0.0033,0.008,0.0,0.0,2801.5209,2609.1165,1.0012
sigma_state,0.1501,0.0162,0.1198,0.1795,0.0008,0.0006,419.9768,736.4012,1.0019
sigma_year,0.1519,0.0401,0.0912,0.2246,0.0017,0.0014,596.0424,924.953,1.0026
sigma_obs,0.2225,0.0008,0.221,0.2241,0.0,0.0,3164.4979,2681.8806,1.0015
