feature,importance
avg_agi_t,0.32725992143505167
avg_wage_per_earner_t,0.2048472189473519
pct_with_cap_gains_t,0.14491086577153056
total_interest_t,0.08466042560361252
total_cap_gains_t,0.07842854716142879
total_business_t,0.022966139879347452
n_cap_gains_t,0.022753982967133504
pct_with_wages_t,0.019940526682449933
n_wages_t,0.01846891140544951
n_returns_t,0.01645390235858432
log_returns_t,0.0141795094595839
total_wages_t,0.013452237322547005
pct_with_business_t,0.012222935986387146
n_interest_t,0.010398755059298477
n_business_t,0.009056119960243388
