feature,importance
avg_agi_t,0.3240114868297255
avg_wage_per_earner_t,0.20586340476411047
pct_with_cap_gains_t,0.13483836014604778
total_cap_gains_t,0.07930545193424043
total_interest_t,0.0790479600881069
n_wages_t,0.02566122506644441
total_business_t,0.023195245357465068
n_cap_gains_t,0.022697565582755156
log_returns_t,0.021921750625475116
n_returns_t,0.018854438995454394
total_wages_t,0.016224586997356575
n_business_t,0.014747755781269755
n_interest_t,0.011992028829235696
pct_with_business_t,0.011594776621711982
pct_with_wages_t,0.010043962380601032
